Name,percent.lab,plab.fac,sex,experimenter,experimenter_code,whelp.location,puptestage,puptestage.z,Plate.OT,Meas.OT.pg,CV.OT,Date.Collect.OT,Corr.OT.pg,Assay.Date.OT,Storage.Days.OT,Time.Collect.OT,Age.Collect.OT,Month.Collect.OT,Season.OT,Corr.OT.log,Corr.OT.pg.z,Corr.OT.log.z,Storage.Days.OT.z,Time.Collect.OT.z,Age.Collect.OT.z,Date.Collect.F,Age.Collect.F,Time.Collect.F,Date.Lyo.F,Date.Ground.F,Date.Assay.F,Measured.F,CV.F,Plate.F,Vol.Corr.F,Weight.F,Corr.F.ng,Collect.to.Lyo.F,Lyo.to.Assay.F,Month.Collect.F,Season.F,Corr.F.log,Corr.F.ng.z,Corr.F.log.z,Collect.to.Lyo.F.z,Lyo.to.Assay.F.z,Time.Collect.F.z,Age.Collect.F.z,retrieval_adjustedavgscore.rn,Lat_Index_C1.rn,Lat_Strength_C1.rn,warmups_C1.rn,Marker_PerCorrect.rn,Pointing_PerCorrect.rn,MEM_C1.rn,HI_C1.rn,HI_AvgLook.rn,HI_AvgInteract.rn,NO_C1.rn,SE_C1.rn,UT_C1.rn,UT_AvgLook.rn,CYL_IC_C1.rn,CYL_DT_C1.rn,CYL_IC_Score.rn,OD_C1.rn,AuditoryDisc_PerCorrect.rn,VisualDisc.bin
A1,23.4375,0-33% Lab,F,Emily B,Emily B,CEDC,59,0.06190940438637897,MS-P-OT1,90.227,2.139,2018-03-28,45.1135,1/20/2023,1759,13.983333333333333,53,3,Spring,1.65430652188205,-0.3733249168236086,-0.2321216309307711,1.1951417514177154,0.917470301349224,0.37287876192188585,2018-03-21,46,11.75,2020-10-28,2020-11-09,2021-03-20,1803.2375,1.1216146105146363,Plate1,9016.1875,0.099,464.3791925505051,952,143,3,Spring,2.666872752059332,2.010841811569771,1.8410397908168832,0.7390912295172111,0.6381151401696551,0.44039495926655187,1.6510210645378585,-0.5379550704395061,-1.1835166414919902,0.8366854211738096,0.27707495669769616,0.4349519585678842,1.2556974057315404,0.35577680360335595,0.6670822454959952,-0.6368399898447563,1.580868455186542,-1.4624429714375224,1.342529498772206,-0.5240542342503858,-0.506819093584088,-0.3458795041568969,-0.35417355859155486,-0.7418537820576652,-1.3425294987722058,0.7422180520449941,1
A2,92.1875,67-100% Lab,M,Emily B,Emily B,BC,56,-0.5137250575902811,MS-P-OT1,108.847,15.833,2018-04-30,54.4235,1/20/2023,1726,9.966666666666669,55,4,Spring,1.735786468017217,0.1275279048444088,0.29993403427067006,1.0905530544195214,-0.7344535554129799,1.1216678204154271,2018-04-18,43,7.75,2020-10-28,2020-11-16,2021-03-20,233.2645,9.55573053908484,Plate1,1166.3225,0.101,58.905060123762375,924,143,4,Spring,1.7701526036060402,-0.7262464807194007,-1.1468046980626416,0.6575720669587175,0.6381151401696551,-0.9072617466857382,-0.2968127756472542,0.3065561743725096,-0.389957015478096,-0.6458717252933841,0.12225686172445896,0.9552088944396158,-0.2645924347874483,-1.5112586712433862,0.6463610944721575,-0.02524248684040169,0.9733155914197676,-0.02409165701356881,0.4069875308350006,2.2856330068507735,2.4936704613615843,-0.20613565491559577,-0.08914698809962276,-0.27955815647316523,-1.4749250286104212,0.12161202249702496,1
A3,100,67-100% Lab,M,Emily B,Emily B,CEDC,52,-1.281237673559161,MS-P-OT1,102.31,16.147,2018-05-21,51.155,1/20/2023,1705,9.083333333333334,51,5,Spring,1.7088880890019202,-0.0483085556950019,0.12429038673949765,1.023996610875216,-1.0977397147839218,-0.37591029657165576,2018-05-14,44,14.3,2020-10-28,2020-11-16,2021-03-20,816.6279999999999,0.8430266439103509,Plate1,4083.1399999999994,0.099,210.3023319191919,898,143,5,Spring,2.3228440883497656,0.29573659286337456,0.6947466595047387,0.5818757017258306,0.6381151401696551,1.299526109311137,0.3524651710811167,1.540577585091289,1.6969559071846685,1.2401206703388337,-0.06266549658096794,0.4349519585678842,0.10203867793337588,-1.1453398730489226,-1.0744506178801816,-1.9959364247650715,0.2323880536178329,0.5112398344912709,1.097312993562002,-2.0627850781257213,-1.4929106922428603,0.7732638588652593,0.01535043917322168,-0.7418537820576652,-0.7329908786648324,-0.5338194948290186,0
A4,81.25,67-100% Lab,M,Emily H,Emily H,BC,60,0.25378755837859895,MS-P-OT1,121.707,0.443,2018-06-18,60.8535,1/20/2023,1677,14.6,56,6,Summer,1.7842855618096891,0.4734445152982598,0.6166281269080693,0.9352546861494756,1.1710851673251643,1.4960623496621983,2018-06-05,43,8,2020-11-04,2020-11-27,2021-05-19,1013.444,9.990188223903084,Plate7,5067.219999999999,0.099,260.987422020202,883,196,6,Summer,2.416619577534265,0.637878188626357,1.0072037611268765,0.5382047217837804,0.968877388986188,-0.8230332025637201,-0.2968127756472542,-0.5379550704395061,2.116330873785842,1.809074086595972,-0.5545182861595389,0.9552088944396158,1.2556974057315404,0.5945810470661853,0.06964616533117518,-0.05682012384627506,0.10113134916926036,-0.6441356829113869,0.5374787986878427,1.2272007695467746,0.08764032258081422,0.936186192686732,0.15721355444737595,-1.2132337213723057,-0.8683903988475252,0.12161202249702496,1
A5,100,67-100% Lab,F,Zia,Zia,CEDC,54,-0.897481365574721,MS-P-OT1,113.748,18.042,2018-06-21,56.874,1/20/2023,1674,9.133333333333333,48,6,Summer,1.7549137736511042,0.25935817761535185,0.4248333721478311,0.9257466227860032,-1.0771763472723594,-1.499093884311968,2018-06-15,42,13.45,2020-11-04,2020-11-27,2021-07-21,288.82000000000005,2.0580083105927987,Plate8,1444.1000000000004,0.099,74.37844343434345,873,259,6,Summer,1.871447085357332,-0.6217958810029172,-0.8092945399865293,0.5090907351557471,1.3620476092775389,1.0131490592962749,-0.9460907223756252,1.141981354610282,0.9073184683247224,-0.01811028510813248,0.5855389206928533,0.4349519585678842,0.44968450423188744,1.690097115128249,-0.6395156946824727,-0.23887564183830717,-0.8581460330065882,0.12613347731830926,0.1946297741092627,-0.26255207118640356,0.30023541674017423,0.8453273538401506,0.5660775115094732,-1.2132337213723057,0.2386331216672176,0.12161202249702496,0
A6,25,0-33% Lab,F,Zia,Zia,BC,56,-0.5137250575902811,MS-P-OT1,121.885,0.989,2018-07-02,60.9425,1/20/2023,1663,7.666666666666667,55,7,Summer,1.7849202659997951,0.47823247460314233,0.6207726799679435,0.8908837237866053,-1.6803684609448657,1.1216678204154271,2018-06-21,44,5.916666666666667,2020-11-04,2020-11-28,2021-07-21,683.467,0.7871145777729162,Plate8,3417.335,0.099,176.01001176767676,867,259,6,Summer,2.245537371972054,0.06425176930535871,0.43716301216401093,0.491622343178927,1.3620476092775389,-1.524937736913871,0.3524651710811167,-0.5379550704395061,0.8324099213127799,-0.30339428040262484,0.3358087099461689,-0.7072112050032363,-0.7911007048684884,0.5945810470661853,-1.457713645467729,-1.004178388783883,-1.498333709149315,-0.517349928918767,0.7170197496556119,0.7143430935131404,-0.3997457810236317,0.5066057910223749,-0.3738553444271561,0.19328595618692193,0.9234228368511928,0.12161202249702496,1
A7,75,67-100% Lab,M,Zia,Zia,CEDC,60,0.25378755837859895,MS-P-OT1,81.157,6.747,2018-07-02,40.5785,1/20/2023,1663,8.516666666666667,54,7,Summer,1.6082959891299762,-0.6172956521903606,-0.5325656760098766,0.8908837237866053,-1.330791213248299,0.7472732911686567,2018-06-21,43,14,2020-11-04,2020-11-28,2021-04-17,526.6795,5.29417638289113,Plate2,2633.3975,0.099,135.63327123737375,867,164,6,Summer,2.132366236303895,-0.20830496107067048,0.06008020144588013,0.491622343178927,0.769171880266772,1.198451856364715,-0.2968127756472542,-0.13319427916737833,1.2598978870273558,0.34795394108682404,-0.4316315769923299,-0.7072112050032363,-0.7911007048684884,-2.462705842081633,0.5336855129979683,0.30105416610866503,0.4782486305393302,-0.7114987471522175,1.0219653391175991,-0.2750691732720014,0.44929210649086254,0.4315654386988111,1.6638516973854804,-0.27955815647316523,1.2843480303485408,-0.5338194948290186,1
A8,100,67-100% Lab,M,Emily H,Emily H,BC,54,-0.897481365574721,MS-P-OT1,196.571,3.046,2018-07-11,98.2855,1/20/2023,1654,14.2,52,7,Summer,1.992489451357253,2.4871848827179415,1.9761781046042977,0.8623595336961887,1.0065782272326629,-0.00151576732488493,2018-07-06,47,7.75,2020-11-04,2020-01-16,2021-04-17,232.7365,3.808420038186263,Plate2,1163.6825,0.1,59.34780749999999,852,164,7,Summer,1.7734046793438558,-0.7232577853550654,-1.1359688797893364,0.4479513632368768,0.769171880266772,-0.9072617466857382,2.3002990112662296,-1.059033358964051,0.03622651250793181,0.24074448236571844,-1.437560332246005,-1.0901905382679475,-1.4635101371339398,1.1294993142125862,-0.902072562016907,-0.3409177353633767,-1.188240099782787,-1.1918615506051105,-0.6778659271806831,0.06644961858009148,-0.2563090346760546,-0.43828154002863806,1.2568219217828445,1.2478431445791445,-0.4003264277026892,-0.5338194948290186,0
A9,77.734375,67-100% Lab,M,Emily H,Emily H,BC,56,-0.5137250575902811,MS-P-OT1,216.555,13.216,2018-07-16,108.2775,1/20/2023,1649,9.133333333333333,55,7,Summer,2.0345382198659343,3.024727459958203,2.250752236780016,0.846512761423735,-1.0771763472723594,1.1216678204154271,2018-07-04,43,6.833333333333333,2020-11-04,2020-01-16,2021-07-21,498.533,1.1034958082276118,Plate8,2492.665,0.099,128.38483671717174,854,259,7,Summer,2.108513733086925,-0.2572343592148395,-0.01939561986328874,0.45377416056248354,1.3620476092775389,-1.2160997417998047,-0.2968127756472542,0.3065561743725096,0.2314339093610149,-2.5677939150000233,-0.59731684807066,1.7006343828761394,-0.7911007048684884,1.1294993142125862,0.5924021250153529,1.3427341060052282,-0.5502803147210413,1.9274450829501903,2.487629368313333,-1.075032843634902,-0.506819093584088,0.3785017533147895,1.6398275472078676,-1.2132337213723057,-0.815870155687604,0.7422180520449941,1
A10,95.3125,67-100% Lab,M,Zia,Zia,CEDC,57,-0.32184690359806106,MS-P-OT1,90.651,8.985,2018-07-30,45.3255,1/20/2023,1635,9.083333333333334,55,7,Summer,1.6563426036344682,-0.36191989016478815,-0.21882622656967415,0.8021417990608648,-1.0977397147839218,1.1216678204154271,2018-07-18,43,12.75,2020-11-04,2021-01-17,2021-04-17,187.901,7.209515496975465,Plate2,939.505,0.101,47.44965351485149,840,164,7,Summer,1.6762330454853882,-0.8035743712188689,-1.4597418330348095,0.4130145792832368,0.769171880266772,0.7773091357546243,-0.2968127756472542,0.7300128993985392,-0.5102539356301484,-1.0696692506283436,-0.682268743404756,-1.8841422723335857,0.8138940384057478,-0.953533340752758,1.1574588241092336,2.0196130849796448,-0.3409177353633767,0.3072200031411611,-0.7170197496556119,0.338350147122777,0.594650581007398,-0.3916623135430769,-1.7150058637332348,1.2478431445791445,-0.4746624916130993,0.12161202249702496,0
